model,tensor,type_block,rule,harmed_id,harmed_se,harmmass_id,harmmass_se,elected_id,elected_se,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share,ceiling_pct_of_mse,identity_mse_cut,search_mse_cut,control_mse_cut,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.16.self_attn.v_proj (1024, 4096)",8x64,h3,0.8194,3.8055,0.2204,1.0007,2.7832,13.269,heade0,mse,0.54,0.5855,0.0238,0.0085,0.9676,19.7914,0.6284,3.1213,3.1107,0.0317,0.1577,0.1572,0.126,0.0005,spectral2,2.7
llama-3.1-8b,"layers.16.self_attn.v_proj (1024, 4096)",8x64,h5,0.0961,1.5823,0.0211,0.3412,0.3784,6.8359,heade0,mse,0.54,0.5855,0.0238,0.0085,0.9676,19.7914,0.1036,2.0744,2.0106,0.0052,0.1048,0.1016,0.0996,0.0032,spectral2,3.1
llama-3.1-8b,"layers.16.self_attn.v_proj (1024, 4096)",8x64,dominance,0.0,0.0,0.0,0.0,0.0,0.0,heade0,mse,0.54,0.5855,0.0238,0.0085,0.9676,19.7914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.3
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",8x64,argmin,26.6428,23.2315,9.6824,7.5168,66.9922,63.3972,heade0,mse,0.5668,0.5588,0.0085,0.0003,0.9911,21.3845,6.1729,8.8102,8.82,0.2887,0.412,0.4124,0.1233,-0.0005,spectral2,9.4
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",8x64,h1.5,12.8304,14.9632,4.2116,4.4549,35.199,44.693,heade0,mse,0.5668,0.5588,0.0085,0.0003,0.9911,21.3845,4.966,8.1931,8.1243,0.2322,0.3831,0.3799,0.1509,0.0032,spectral2,9.1
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",8x64,h3,1.495,5.2057,0.3764,1.3511,4.9896,18.3502,heade0,mse,0.5668,0.5588,0.0085,0.0003,0.9911,21.3845,1.2993,4.8687,4.8474,0.0608,0.2277,0.2267,0.1669,0.001,spectral2,7.7
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",8x64,h5,0.1972,2.0571,0.0394,0.4632,0.7477,8.6823,heade0,mse,0.5668,0.5588,0.0085,0.0003,0.9911,21.3845,0.4248,3.0707,3.0319,0.0199,0.1436,0.1418,0.1237,0.0018,spectral2,7.7
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",8x64,dominance,0.0,0.0,0.0,0.0,0.0,0.0,heade0,mse,0.5668,0.5588,0.0085,0.0003,0.9911,21.3845,0.0,0.0,0.002,0.0,0.0,0.0001,0.0,-0.0001,identity,2.5
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",8x64,argmin,24.2446,21.3993,9.0856,7.157,60.4937,59.021,heade0,mse,0.5569,0.5491,0.0078,0.001,0.9912,20.7959,5.0369,7.9322,7.8783,0.2422,0.3814,0.3788,0.1392,0.0026,marginal,31.6
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",8x64,h1.5,10.7156,12.5741,3.5986,3.8122,29.3187,38.964,heade0,mse,0.5569,0.5491,0.0078,0.001,0.9912,20.7959,3.8509,7.2328,7.1798,0.1852,0.3478,0.3453,0.1626,0.0025,marginal,31.9
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",8x64,h3,1.0561,3.9631,0.2763,1.0325,3.5679,15.3687,heade0,mse,0.5569,0.5491,0.0078,0.001,0.9912,20.7959,0.7622,4.1558,4.1634,0.0367,0.1998,0.2002,0.1632,-0.0004,marginal,25.7
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",8x64,h5,0.1014,1.4861,0.0205,0.3435,0.4116,7.4149,heade0,mse,0.5569,0.5491,0.0078,0.001,0.9912,20.7959,0.1064,2.6268,2.6088,0.0051,0.1263,0.1254,0.1212,0.0009,spectral1,27.2
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",8x64,dominance,0.0,0.0,0.0,0.0,0.0,0.0,heade0,mse,0.5569,0.5491,0.0078,0.001,0.9912,20.7959,0.0,0.0,0.0092,0.0,0.0,0.0004,0.0,-0.0004,identity,11.3
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",8x64,argmin,23.9662,23.075,8.9676,8.4259,59.8075,59.7299,heade0,mse,0.5563,0.5527,0.0182,0.001,0.9808,20.8001,5.0322,6.2215,5.9721,0.2419,0.2991,0.2871,0.0572,0.012,marginal,22.3
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",8x64,h1.5,10.6903,13.4282,3.5889,4.529,29.2419,37.4747,heade0,mse,0.5563,0.5527,0.0182,0.001,0.9808,20.8001,3.8645,5.3233,5.0721,0.1858,0.2559,0.2438,0.0701,0.0121,marginal,21.4
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",8x64,h3,1.0661,2.7161,0.2776,0.7275,3.5976,9.4291,heade0,mse,0.5563,0.5527,0.0182,0.001,0.9808,20.8001,0.776,2.1762,2.102,0.0373,0.1046,0.1011,0.0673,0.0036,marginal,18.1
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",8x64,h5,0.1154,0.7799,0.0237,0.1722,0.4674,3.2872,heade0,mse,0.5563,0.5527,0.0182,0.001,0.9808,20.8001,0.1244,0.9646,1.0017,0.006,0.0464,0.0482,0.0404,-0.0018,marginal,19.2
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",8x64,dominance,0.0,0.0,0.0,0.0,0.0,0.0026,heade0,mse,0.5563,0.5527,0.0182,0.001,0.9808,20.8001,0.0,0.0019,0.0,0.0,0.0001,0.0,0.0001,0.0001,identity,8.0
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",8x64,argmin,22.5298,20.837,8.4948,6.9296,56.4148,56.8909,heade0,mse,0.5534,0.565,0.0188,0.0055,0.9757,20.5185,4.86,7.5963,7.554,0.2369,0.3702,0.3682,0.1334,0.0021,marginal,9.7
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",8x64,h1.5,10.2652,13.2673,3.466,4.0565,28.0365,39.5355,heade0,mse,0.5534,0.565,0.0188,0.0055,0.9757,20.5185,3.7734,7.0226,7.0057,0.1839,0.3423,0.3414,0.1584,0.0008,marginal,9.4
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",8x64,h3,1.0202,4.7328,0.2616,1.1853,3.4058,16.6687,heade0,mse,0.5534,0.565,0.0188,0.0055,0.9757,20.5185,0.7383,4.2081,4.1046,0.036,0.2051,0.2,0.1691,0.005,spectral1,7.7
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",8x64,h5,0.1041,1.9238,0.021,0.4057,0.4181,8.2184,heade0,mse,0.5534,0.565,0.0188,0.0055,0.9757,20.5185,0.1132,2.6257,2.7067,0.0055,0.128,0.1319,0.1225,-0.0039,spectral1,7.8
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",8x64,dominance,0.0,0.0,0.0,0.0,0.0,0.0,heade0,mse,0.5534,0.565,0.0188,0.0055,0.9757,20.5185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.9
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",8x64,argmin,19.0697,19.0331,7.3421,6.5019,47.5708,50.8667,heade0,mse,0.539,0.5716,0.0131,0.0084,0.9785,19.7788,3.904,6.1597,5.894,0.1974,0.3114,0.298,0.114,0.0134,marginal,2.8
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",8x64,h1.5,8.2813,12.4489,2.8063,4.0122,22.6074,35.6445,heade0,mse,0.539,0.5716,0.0131,0.0084,0.9785,19.7788,2.9376,5.5378,5.2639,0.1485,0.28,0.2661,0.1315,0.0138,spectral2,2.7
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",8x64,h3,0.6947,3.8155,0.1725,0.999,2.356,13.3301,heade0,mse,0.539,0.5716,0.0131,0.0084,0.9785,19.7788,0.5052,3.1007,3.142,0.0255,0.1568,0.1589,0.1312,-0.0021,marginal,2.6
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",8x64,h5,0.1133,1.6254,0.0212,0.3507,0.4272,6.9214,heade0,mse,0.539,0.5716,0.0131,0.0084,0.9785,19.7788,0.1138,2.0693,2.035,0.0058,0.1046,0.1029,0.0989,0.0017,spectral1,3.0
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",8x64,dominance,0.0,0.0,0.0,0.0,0.0,0.0,heade0,mse,0.539,0.5716,0.0131,0.0084,0.9785,19.7788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.3
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",8x64,argmin,26.4745,23.1295,9.7751,7.654,66.7389,63.3179,heade0,mse,0.5669,0.5563,0.0072,0.0008,0.992,21.3077,5.8963,8.4276,8.4645,0.2767,0.3955,0.3973,0.1188,-0.0017,spectral2,9.5
