model,tensor,type_block,rule,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share
llama-3.1-8b,"layers.26.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5647,0.5554,0.0078,0.0005,0.9917
llama-3.1-8b,"layers.26.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.566,0.5512,0.0048,0.0005,0.9946
llama-3.1-8b,"layers.27.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.5494,0.5695,0.0184,0.0075,0.9741
llama-3.1-8b,"layers.27.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5302,0.6216,0.0448,0.023,0.9322
llama-3.1-8b,"layers.27.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.5375,0.5944,0.0271,0.011,0.9619
llama-3.1-8b,"layers.27.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5687,0.5598,0.0308,0.0005,0.9687
llama-3.1-8b,"layers.27.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5666,0.562,0.0178,0.0006,0.9816
llama-3.1-8b,"layers.27.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5656,0.5583,0.0085,0.0005,0.9909
llama-3.1-8b,"layers.27.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5633,0.5479,0.0055,0.0006,0.9939
llama-3.1-8b,"layers.28.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.5536,0.5626,0.0155,0.0065,0.978
llama-3.1-8b,"layers.28.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5362,0.6058,0.0348,0.0201,0.9451
