model,seed,rule,domain,tiles,accepted,n,baseline_ppl,candidate_ppl,delta_nll,se,relative_ppl_percent,lower_percent,upper_percent,delta_ppl,lower_ppl,upper_ppl,worthwhile_gain_0p01_ppl,supported_gain_0p01_ppl,export_delta_ppl,export_relative_ppl_percent,supported_improvement,supported_harm
llama-3.1-8b-local,20260918,wiki,math,2239,True,128,5.60005332264832,5.534762245571788,-0.011727509088814259,0.0036356506047466285,-1.1659009890579772,-1.8819470445751725,-0.44462937169790007,-0.06529107707653115,-0.10539003800021379,-0.0248994819032386,True,True,-0.06529107707653115,-1.1659009890579772,True,False
llama-3.1-8b-local,20260918,wiki,code,2239,True,128,6.002329259539231,6.11012323643138,0.017799338791519403,0.005547656752852497,1.7958691073275888,0.6726547565177263,2.9316152671069924,0.10779397689214942,0.04037495326614586,0.17596520095468218,False,False,0.10779397689214942,1.7958691073275888,False,True
llama-3.1-8b-local,20260918,c4,wikitext,2924,True,123,7.1183388732577955,7.073150028846674,-0.006368464570704515,0.0009217733441187089,-0.634822887975834,-0.8178384804380956,-0.45146958652869906,-0.04518884441112103,-0.05821651447348582,-0.032137135078808624,True,True,-0.04518884441112103,-0.634822887975834,True,False
llama-3.1-8b-local,20260918,c4,c4,2924,True,256,9.455222525703801,9.400628443104019,-0.005790694383904338,0.0010999021214928224,-0.5773960628781659,-0.7958659452800936,-0.358445060511113,-0.05459408259978282,-0.0752508961325289,-0.03389177810371938,True,True,-0.05459408259978282,-0.5773960628781659,True,False
llama-3.1-8b-local,20260918,c4,math,2924,True,128,5.60005332264832,5.565806927334288,-0.006134144961833954,0.0034776883214508295,-0.6115369504702505,-1.3004226380302295,0.0821568984133035,-0.03424639531403173,-0.0728243611494828,0.004600830119379007,True,False,-0.03424639531403173,-0.6115369504702505,False,False
llama-3.1-8b-local,20260918,c4,code,2924,True,128,6.002329259539231,6.0126239459320425,0.0017136461101472378,0.00558177226938312,0.17151152407127557,-0.9405388453717923,1.2960458704082625,0.010294686392811947,-0.05645423831308353,0.07779294049656504,False,False,0.010294686392811947,0.17151152407127557,False,False
llama-3.1-8b-local,20260918,mixed,wikitext,1188,True,123,7.1183388732577955,7.039226918633653,-0.01117604244046095,0.0007955378797729,-1.111382248481491,-1.2685964280798856,-0.9539177301117165,-0.07911195462414256,-0.09030299268477038,-0.0679030966014407,True,True,-0.07911195462414256,-1.111382248481491,True,False
llama-3.1-8b-local,20260918,mixed,c4,1188,True,256,9.455222525703801,9.406834275191821,-0.0051307614194229245,0.0008676266162698734,-0.5117621545176492,-0.6842497427346921,-0.33897499681629123,-0.048388250511980146,-0.06469733580712092,-0.03205084025547771,True,True,-0.048388250511980146,-0.5117621545176492,True,False
llama-3.1-8b-local,20260918,mixed,math,1188,True,128,5.60005332264832,5.545913697116247,-0.009714733809232712,0.0034576194342129615,-0.9667698218714296,-1.6492458025561172,-0.2795580008974392,-0.05413962553207252,-0.09235864436468179,-0.01565539711798626,True,True,-0.05413962553207252,-0.9667698218714296,True,False
llama-3.1-8b-local,20260918,mixed,code,1188,True,128,6.002329259539231,6.060917843762161,0.009713644161820412,0.005902057547520904,0.9760974729904877,-0.2088287420648285,2.1750935713573867,0.058588584222930784,-0.012534588687284909,0.13055627785594123,False,False,0.058588584222930784,0.9760974729904877,False,False
llama-3.1-8b-local,20260918,consensus,wikitext,17835,False,123,7.1183388732577955,7.028787147900919,-0.012660228139985867,0.0007765018968760776,-1.2580424583789585,-1.4112700807077554,-1.1045766880969037,-0.08955172535687606,-0.1004589867616768,-0.07862751177374541,True,True,0.0,0.0,True,False
llama-3.1-8b-local,20260918,consensus,c4,17835,False,256,9.455222525703801,9.41134756449829,-0.004651088151149452,0.0008308851877211518,-0.46402885903784596,-0.6292974299310625,-0.2984854214100823,-0.043874961205512264,-0.05950147234851692,-0.028222460801108018,True,True,0.0,0.0,True,False
llama-3.1-8b-local,20260918,consensus,math,17835,False,128,5.60005332264832,5.572750665342492,-0.004887351766228676,0.0031469396854475378,-0.48754280955517393,-1.1118953501912416,0.1407517228541122,-0.02730265730582726,-0.06226673250275679,0.007882171532376464,True,False,0.0,0.0,False,False
llama-3.1-8b-local,20260918,consensus,code,17835,False,128,6.002329259539231,6.0118533908406375,0.0015854816883802414,0.005580823316052139,0.1586739228987052,-0.9530459486891778,1.2828719275571228,0.009524131301406946,-0.05720495583502376,0.07700219707017611,False,False,0.0,0.0,False,False
qwen3-4b,20260918,teacher_mixed,wikitext,347,True,128,15.215968675837818,13.71656991159014,-0.10374086257070303,0.0026406960856098505,-9.854113110975614,-10.328953878371847,-9.376757889202707,-1.4993987642476778,-1.5716503866747957,-1.4267645432302354,True,True,-1.4993987642476778,-9.854113110975614,True,False
qwen3-4b,20260918,teacher_mixed,c4,347,True,256,17.81870635638335,17.20489111267858,-0.03505511395633221,0.0013186436111666206,-3.444780061066974,-3.699088419370669,-3.189800133407998,-0.6138152437047673,-0.6591297033106417,-0.5683811191274954,True,True,-0.6138152437047673,-3.444780061066974,True,False
qwen3-4b,20260918,teacher_mixed,math,347,True,128,5.257418519855406,4.99909241906967,-0.050383750814944506,0.008547129644796463,-4.913554053384375,-6.525172459311214,-3.274149408588129,-0.2583261007857365,-0.3430556253283323,-0.17213573737484855,True,True,-0.2583261007857365,-4.913554053384375,True,False
qwen3-4b,20260918,teacher_mixed,code,347,True,128,9.669665336022605,9.519041882101888,-0.015699499286711216,0.007387830556976766,-1.5576904544937715,-3.001547420504784,-0.09234115656550512,-0.1506234539207174,-0.2902395904648317,-0.008929080807297011,True,False,-0.1506234539207174,-1.5576904544937715,True,False
qwen3-4b,20260918,teacher_consensus,wikitext,191,True,128,15.215968675837818,14.521934170609942,-0.0466852393001318,0.0024377112539529645,-4.561224592489902,-5.025396509695351,-4.094784115471573,-0.6940345052278758,-0.7646627587518915,-0.6230610683533373,True,True,-0.6940345052278758,-4.561224592489902,True,False
qwen3-4b,20260918,teacher_consensus,c4,191,True,256,17.81870635638335,17.538297983774957,-0.015861878404393792,0.0009919186377746491,-1.573674132117551,-1.7687423904524873,-1.3782185059901644,-0.2804083726083917,-0.31516701275560416,-0.24558070853172104,True,True,-0.2804083726083917,-1.573674132117551,True,False
qwen3-4b,20260918,teacher_consensus,math,191,True,128,5.257418519855406,5.214070194608279,-0.008279352448880672,0.008977243439496983,-0.8245173003331557,-2.5892721617079415,0.9722089854407577,-0.04334832524712695,-0.13612887415909372,0.051113095252260744,True,False,-0.04334832524712695,-0.8245173003331557,False,False
qwen3-4b,20260918,teacher_consensus,code,191,True,128,9.669665336022605,9.854626083670817,0.01894729770720005,0.00793648194448906,1.9127936823126028,0.30790644290182045,3.5433584893505157,0.18496074764821202,0.02977352257665757,0.34263090757574105,False,False,0.18496074764821202,1.9127936823126028,False,True
llama-3.1-8b-local,20260918,teacher_mixed,wikitext,26,False,123,7.1183388732577955,7.095356383072864,-0.00323385436360429,0.0008069158779240196,-0.32286310885357533,-0.48359550529274065,-0.1618711079462195,-0.022982490184931592,-0.03442396684258062,-0.01152253400150883,True,True,0.0,0.0,True,False
llama-3.1-8b-local,20260918,teacher_mixed,c4,26,False,256,9.455222525703801,9.424116480683843,-0.0032952502369880676,0.0007132589620183261,-0.3289826858690916,-0.47106381384276735,-0.18669873198669196,-0.031106045019958728,-0.04454013183690076,-0.017652780562009068,True,True,0.0,0.0,True,False
llama-3.1-8b-local,20260918,teacher_mixed,math,26,False,128,5.60005332264832,5.5776065099175485,-0.0040163761004805565,0.003815385017622111,-0.40083212493691395,-1.1579580698415726,0.3620933733283765,-0.022446812730771093,-0.06484626936503733,0.020277421984165135,True,False,0.0,0.0,False,False
llama-3.1-8b-local,20260918,teacher_mixed,code,26,False,128,6.002329259539231,6.0491440877521025,0.007769185118377209,0.005556939045569599,0.7799443547431495,-0.33391057181738676,1.9062475754480765,0.04681482821287197,-0.02004241195288976,0.11441925598037708,False,False,0.0,0.0,False,False
llama-3.1-8b-local,20260918,teacher_consensus,wikitext,170,True,123,7.1183388732577955,7.076641670213522,-0.005874939081145496,0.0008383440512698374,-0.5857715372461716,-0.7523185286357852,-0.4189450642613238,-0.041697203044273046,-0.053552582274602176,-0.02982192936690866,True,True,-0.041697203044273046,-0.5857715372461716,True,False
llama-3.1-8b-local,20260918,teacher_consensus,c4,170,True,256,9.455222525703801,9.424156656994553,-0.0032909871079027653,0.0007883132158811743,-0.32855777455049273,-0.485578590744218,-0.17128919992769773,-0.031065868709248434,-0.04591253629204237,-0.016195775015661495,True,True,-0.031065868709248434,-0.32855777455049273,True,False
llama-3.1-8b-local,20260918,teacher_consensus,math,170,True,128,5.60005332264832,5.549865167690475,-0.009002486243844032,0.002741791911523826,-0.896208519209424,-1.4381651765582135,-0.3512718339525619,-0.05018815495784423,-0.0805380167550193,-0.01967141000878813,True,True,-0.05018815495784423,-0.896208519209424,True,False
llama-3.1-8b-local,20260918,teacher_consensus,code,170,True,128,6.002329259539231,6.0210346393857135,0.0031115077435970306,0.006094110034560276,0.31163535083910476,-0.9035643323306543,1.541736783602847,0.018705379846482906,-0.05423490629824315,0.09254011806727272,False,False,0.018705379846482906,0.31163535083910476,False,False
