model,policy,dataset,ppl,baseline_ppl,mean_nll,two_se,ppl_delta,selected_e0m3_type_blocks,selected_fraction,calibration_sequences,reused,report
llama8b,adaptive_code16,c4,11.615502026080819,11.600108653170526,0.0013261227868497372,0.0027867147867923665,0.015393372910292413,1,7.335956280048077e-08,16,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,adaptive_code16,wiki,9.084793988070198,9.09293400629743,-0.0008956035400958771,0.0016050232917652842,-0.008140018227232204,1,7.335956280048077e-08,16,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,fixed256_code16,c4,11.540401286958781,11.600108653170526,-0.005160430679097772,0.0019849808882487774,-0.05970736621174488,256,1.8780048076923078e-05,16,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,fixed256_code16,wiki,9.052092440483642,9.09293400629743,-0.004501689199014758,0.0017741425133132728,-0.040841565813787284,256,1.8780048076923078e-05,16,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,adaptive_code32,c4,11.587582816422996,11.600108653170526,-0.0010803868062794209,0.0021985704318515276,-0.01252583674753005,2,1.4671912560096155e-07,32,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,adaptive_code32,wiki,9.088794255605542,9.09293400629743,-0.00045537483607623595,0.0016574717343804239,-0.004139750691887656,2,1.4671912560096155e-07,32,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,fixed256_code32,c4,11.538297459485854,11.600108653170526,-0.005342748365364969,0.002509217131893636,-0.06181119368467236,256,1.8780048076923078e-05,32,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,fixed256_code32,wiki,9.03842756793522,9.09293400629743,-0.006012411405008735,0.0016919671492721124,-0.054506438362210474,256,1.8780048076923078e-05,32,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,adaptive_code64,c4,11.587582816422996,11.600108653170526,-0.0010803868062794209,0.0021985704318515276,-0.01252583674753005,2,1.4671912560096155e-07,64,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,adaptive_code64,wiki,9.088794255605542,9.09293400629743,-0.00045537483607623595,0.0016574717343804239,-0.004139750691887656,2,1.4671912560096155e-07,64,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,fixed256_code64,c4,11.553240670027193,11.600108653170526,-0.004048489616252482,0.0024197699527721394,-0.046867983143332737,256,1.8780048076923078e-05,64,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,fixed256_code64,wiki,9.043248934918383,9.09293400629743,-0.005479123786831579,0.0018036514215086093,-0.049685071379046875,256,1.8780048076923078e-05,64,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,adaptive_math_code16,c4,11.615502026080819,11.600108653170526,0.0013261227868497372,0.0027867147867923665,0.015393372910292413,1,7.335956280048077e-08,16,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,adaptive_math_code16,wiki,9.084793988070198,9.09293400629743,-0.0008956035400958771,0.0016050232917652842,-0.008140018227232204,1,7.335956280048077e-08,16,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,fixed256_math_code16,c4,11.545661232290726,11.600108653170526,-0.004704749211668968,0.0023959667582718305,-0.054447420879800035,256,1.8780048076923078e-05,16,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,fixed256_math_code16,wiki,9.049959658735881,9.09293400629743,-0.004737328975758654,0.0016607350974764483,-0.0429743475615485,256,1.8780048076923078e-05,16,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,adaptive_math_code32,c4,11.615502026080819,11.600108653170526,0.0013261227868497372,0.0027867147867923665,0.015393372910292413,1,7.335956280048077e-08,32,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,adaptive_math_code32,wiki,9.084793988070198,9.09293400629743,-0.0008956035400958771,0.0016050232917652842,-0.008140018227232204,1,7.335956280048077e-08,32,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,fixed256_math_code32,c4,11.544846315974185,11.600108653170526,-0.004775333742145449,0.0023363628264705715,-0.055262337196340994,256,1.8780048076923078e-05,32,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,fixed256_math_code32,wiki,9.049169558238649,9.09293400629743,-0.004824637098515288,0.0017174566145639599,-0.04376444805878066,256,1.8780048076923078e-05,32,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,adaptive_math_code64,c4,11.615502026080819,11.600108653170526,0.0013261227868497372,0.0027867147867923665,0.015393372910292413,1,7.335956280048077e-08,64,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,adaptive_math_code64,wiki,9.084793988070198,9.09293400629743,-0.0008956035400958771,0.0016050232917652842,-0.008140018227232204,1,7.335956280048077e-08,64,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,fixed256_math_code64,c4,11.53965272444338,11.600108653170526,-0.00522529729641974,0.0025741757753734904,-0.060455928727146,256,1.8780048076923078e-05,64,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,fixed256_math_code64,wiki,9.028759122993078,9.09293400629743,-0.007082688258894792,0.0017233369801946483,-0.06417488330435184,256,1.8780048076923078e-05,64,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,adaptive_math_code128,c4,11.587582816422996,11.600108653170526,-0.0010803868062794209,0.0021985704318515276,-0.01252583674753005,2,1.4671912560096155e-07,128,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,adaptive_math_code128,wiki,9.088794255605542,9.09293400629743,-0.00045537483607623595,0.0016574717343804239,-0.004139750691887656,2,1.4671912560096155e-07,128,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,fixed256_math_code128,c4,11.513102367355001,11.600108653170526,-0.0075287416111677885,0.0021389465784430136,-0.08700628581552472,256,1.8780048076923078e-05,128,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,fixed256_math_code128,wiki,9.028598996291931,9.09293400629743,-0.007100423599811311,0.0017218489211859196,-0.06433501000549846,256,1.8780048076923078e-05,128,False,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,weight_mse,c4,11.635796960803733,11.600108653170526,0.0030718265334144235,0.0033937146539920315,0.035688307633206406,6652753,0.4880430514995868,0,True,results/math_code_adaptive/evaluation_333786_llama8b/report.json
llama8b,weight_mse,wiki,9.088661535500174,9.09293400629743,-0.0004699775513182295,0.002130436480562249,-0.004272470797255679,6652753,0.4880430514995868,0,True,results/math_code_adaptive/evaluation_333786_llama8b/report.json
qwen27b,four_over_six,c4,12.644977461096765,12.644977461096765,0.0,0.0,0.0,0,0.0,0,True,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,four_over_six,wiki,9.040908368880844,9.040908368880844,0.0,0.0,0.0,0,0.0,0,True,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,adaptive_math16,c4,12.66016134456546,12.644977461096765,0.0012000633869320154,0.0015551451463858747,0.015183883468694148,2,4.205242760254064e-08,16,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,adaptive_math16,wiki,9.041333012680536,9.040908368880844,4.696804901649212e-05,0.001380212457802663,0.00042464379969153754,2,4.205242760254064e-08,16,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,fixed256_math16,c4,12.630066106355763,12.644977461096765,-0.0011799272615462542,0.0014752540367584796,-0.01491135474100247,256,5.382710733125202e-06,16,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,fixed256_math16,wiki,9.02644391282276,9.040908368880844,-0.0016011708769304999,0.001467828721535105,-0.014464456058083996,256,5.382710733125202e-06,16,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,adaptive_math32,c4,12.646750657338307,12.644977461096765,0.00014021946117281914,0.0014605215641164309,0.001773196241542152,2,4.205242760254064e-08,32,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,adaptive_math32,wiki,9.040870678939706,9.040908368880844,-4.168831068893959e-06,0.0014164615559101046,-3.768994113784174e-05,2,4.205242760254064e-08,32,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,fixed256_math32,c4,12.649907041635215,12.644977461096765,0.0003897689748555422,0.0013949371500019657,0.00492958053844994,256,5.382710733125202e-06,32,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,fixed256_math32,wiki,9.032304670943175,9.040908368880844,-0.0009520939711866708,0.001429078563232878,-0.008603697937669352,256,5.382710733125202e-06,32,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,adaptive_math64,c4,12.65079998372467,12.644977461096765,0.0004603553097695112,0.0013627433049140036,0.005822522627905613,4,8.410485520508128e-08,64,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,adaptive_math64,wiki,9.039516740010603,9.040908368880844,-0.00015393762752927582,0.0012941315377825726,-0.001391628870241135,4,8.410485520508128e-08,64,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,fixed256_math64,c4,12.632058564999777,12.644977461096765,-0.0010221845004707575,0.0015816375977509589,-0.012918896096987709,256,5.382710733125202e-06,64,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,fixed256_math64,wiki,9.012560640420805,9.040908368880844,-0.0031404215714027142,0.0014353925526520896,-0.02834772846003908,256,5.382710733125202e-06,64,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,adaptive_code16,c4,12.653982536529897,12.644977461096765,0.0007118929643183947,0.001492519905295733,0.009005075433131893,5,1.051310690063516e-07,16,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,adaptive_code16,wiki,9.043072664585392,9.040908368880844,0.00023936053802227152,0.0014281288253586526,0.0021642957045475697,5,1.051310690063516e-07,16,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,fixed256_code16,c4,12.650863512296679,12.644977461096765,0.0004653770010918379,0.001664270663362256,0.005886051199913922,256,5.382710733125202e-06,16,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,fixed256_code16,wiki,9.020848416738621,9.040908368880844,-0.0022212634826528615,0.0014519373565911155,-0.02005995214222267,256,5.382710733125202e-06,16,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,adaptive_code32,c4,12.64966773941133,12.644977461096765,0.0003708514850586653,0.0014640791324271522,0.004690278314564367,8,1.6820971041016255e-07,32,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,adaptive_code32,wiki,9.047083765122354,9.040908368880844,0.0006828172453518572,0.0014611193401680887,0.006175396241509645,8,1.6820971041016255e-07,32,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,fixed256_code32,c4,12.6459442058416,12.644977461096765,7.644994184374809e-05,0.0015264445585860325,0.0009667447448347133,256,5.382710733125202e-06,32,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,fixed256_code32,wiki,9.008591569601514,9.040908368880844,-0.003580911817221806,0.001472072155518283,-0.03231679927933051,256,5.382710733125202e-06,32,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,adaptive_code64,c4,12.640838777326701,12.644977461096765,-0.0003273522015661001,0.0013530402334171246,-0.004138683770063878,5,1.051310690063516e-07,64,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,adaptive_code64,wiki,9.030591529583255,9.040908368880844,-0.0011417802037863897,0.0012349204618965401,-0.010316839297589198,5,1.051310690063516e-07,64,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,fixed256_code64,c4,12.639964225580854,12.644977461096765,-0.0003965392243117094,0.0014732313504492317,-0.005013235515910708,256,5.382710733125202e-06,64,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,fixed256_code64,wiki,9.017230726134455,9.040908368880844,-0.002622380544399393,0.0013760993095388058,-0.023677642746388727,256,5.382710733125202e-06,64,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,adaptive_math_code16,c4,12.65051883356482,12.644977461096765,0.00043813115917146206,0.0015239554142503968,0.005541372468055528,2,4.205242760254064e-08,16,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,adaptive_math_code16,wiki,9.048038699518436,9.040908368880844,0.0007883633005207983,0.0014032057388860104,0.007130330637592053,2,4.205242760254064e-08,16,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,fixed256_math_code16,c4,12.644239463723942,12.644977461096765,-5.8364588767290115e-05,0.0015027739913447856,-0.000737997372823429,256,5.382710733125202e-06,16,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,fixed256_math_code16,wiki,9.032979001171409,9.040908368880844,-0.000877439153605494,0.001431225879847954,-0.007929367709435198,256,5.382710733125202e-06,16,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,adaptive_math_code32,c4,12.647665904048315,12.644977461096765,0.00021258695051074028,0.0015385345671374668,0.0026884429515501296,2,4.205242760254064e-08,32,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,adaptive_math_code32,wiki,9.040062039644837,9.040908368880844,-9.36154661507442e-05,0.0013962055753625057,-0.0008463292360065822,2,4.205242760254064e-08,32,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,fixed256_math_code32,c4,12.64346737322674,12.644977461096765,-0.0001194290816783905,0.0015044874266501493,-0.0015100878700256004,256,5.382710733125202e-06,32,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,fixed256_math_code32,wiki,9.006973463641556,9.040908368880844,-0.0037605460347800417,0.001376610863398749,-0.03393490523928833,256,5.382710733125202e-06,32,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,adaptive_math_code64,c4,12.6501158553001,12.644977461096765,0.0004062759689986706,0.00157642595091173,0.005138394203335395,6,1.261572828076219e-07,64,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,adaptive_math_code64,wiki,9.03828945077828,9.040908368880844,-0.0002897161861945843,0.001367603417628611,-0.002618918102564649,6,1.261572828076219e-07,64,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,fixed256_math_code64,c4,12.643789483520855,12.644977461096765,-9.395298548042774e-05,0.0015009298428205575,-0.0011879775759098266,256,5.382710733125202e-06,64,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,fixed256_math_code64,wiki,9.013103658173417,9.040908368880844,-0.00308017216879746,0.001448040610449257,-0.02780471070742685,256,5.382710733125202e-06,64,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
qwen27b,adaptive_math_code128,c4,12.6501763349457,12.644977461096765,0.00041105691343545914,0.0015205414685318323,0.005198873848934582,1,2.102621380127032e-08,128,False,results/math_code_adaptive/summary_333786_333788/qwen27b_merged.json
