model,domain,bin,endpoint,tiles,sum_ce_mean,mean_combined_election_margin,estimate,ci95_low,ci95_high,relative_ppl_change,p_two_sided_plus_one
qwen4b,wiki,5,full_context_marginal,414,-0.006228855043090567,5.150500078036754e-07,-0.004962099836330321,-0.007512714395395158,-0.0023810645776390013,-0.004949808956864773,0.00029997000299970003
qwen4b,wiki,5,group_only_vs_baseline,414,-0.006228855043090567,5.150500078036754e-07,-0.013334182627619933,-0.017232319960004325,-0.009419441892665843,-0.013245676237969605,9.999000099990002e-05
qwen4b,wiki,6,full_context_marginal,414,-0.004699845251383603,3.2988744406398073e-07,-0.005011631102876868,-0.008074233614961008,-0.0019552819615657408,-0.00499909383252329,0.0012998700129987
qwen4b,wiki,6,group_only_vs_baseline,414,-0.004699845251383603,3.2988744406398073e-07,-0.00737814915033621,-0.01097817406296138,-0.003618303066580383,-0.007350997425422975,9.999000099990002e-05
qwen4b,wiki,7,full_context_marginal,414,-0.004217243401142594,2.0143604618844115e-07,-0.0039874184376354725,-0.00635490020733811,-0.0017137192542810795,-0.003979479240542801,0.0010998900109989002
qwen4b,wiki,7,group_only_vs_baseline,414,-0.004217243401142594,2.0143604618844115e-07,-0.006236365970255707,-0.009598019403478273,-0.0029251422089627216,-0.00621696020144642,0.00029997000299970003
qwen4b,wiki,8,full_context_marginal,414,-0.004075839648204634,9.689672906048344e-08,-0.004377141626315517,-0.007230802934708036,-0.001507391673406223,-0.004367575903837223,0.0023997600239976003
qwen4b,wiki,8,group_only_vs_baseline,414,-0.004075839648204634,9.689672906048344e-08,-0.008041355486110789,-0.011801804251026794,-0.004055382449520063,-0.008009110276702265,0.00019998000199980003
mistral7b,c4,1,full_context_marginal,466,-0.008277371520010537,8.96986234367757e-06,-0.001738228491850983,-0.00260532720731678,-0.0009716970350586159,-0.0017367186476508155,0.00029997000299970003
mistral7b,c4,1,group_only_vs_baseline,466,-0.008277371520010537,8.96986234367757e-06,-0.0012493447202083308,-0.0019038653865282443,-0.000591761513565741,-0.0012485646140010522,0.00019998000199980003
mistral7b,c4,2,full_context_marginal,466,-0.0022582375075384433,1.9304350624281198e-06,3.1552444383543146e-05,-0.0006724020175182173,0.0007734556444769667,3.155294216715185e-05,0.9265073492650735
mistral7b,c4,2,group_only_vs_baseline,466,-0.0022582375075384433,1.9304350624281198e-06,-0.000506516583536167,-0.0012884023977933067,0.00022331781444253786,-0.000506388325667295,0.1857814218578142
mistral7b,c4,3,full_context_marginal,466,-0.0016348573775910682,1.130212214962677e-06,-0.0001466177953891256,-0.0019318990727502264,0.0011381423279715045,-0.00014660704752544567,0.8588141185881412
mistral7b,c4,3,group_only_vs_baseline,466,-0.0016348573775910682,1.130212214962677e-06,1.9416459414667487e-05,-0.0005539464900029609,0.0005881713290234757,1.9416647915335592e-05,0.9446055394460554
mistral7b,c4,4,full_context_marginal,466,-0.0011746251390595554,6.829950399748195e-07,0.00043530108168282443,-0.0002139651390250266,0.0010793049164505664,0.00043539583894749604,0.18548145185481452
