experiment,model,corpus,policy,required,evaluation,map_sha256
boundary,qwen4b,c4,boundary_part02_selected_band01,True,new_gpu_full,674d7bebd0f30a5485d449d66f5db0fe767cb10886d29d105678c4ce0e60416f
boundary,qwen4b,c4,boundary_part02_selected_band02,True,new_gpu_full,c50eae3fef43b3e09895c2713e5050ad5e51e673a42cb192013dbbe3f11cc6ac
boundary,qwen4b,c4,boundary_part02_selected_band03,True,new_gpu_full,58fa8968957a93a91bcae5f2e8b3c936d1c1240b677f6dbb3790b8f453621001
boundary,qwen4b,c4,boundary_part02_selected_band04,True,new_gpu_full,3bb63a2a9fdf5245227b2272a4518e928e067077382370d2970550b39b8f89a1
boundary,qwen4b,c4,boundary_part03_rejected_band01,True,new_gpu_full,ee6d3532631df3b9e485b1aaa954070720660fec9e8b7c74247cb4c30a418090
boundary,qwen4b,c4,boundary_part03_rejected_band02,True,new_gpu_full,fc9d39d4ac611504d71d4619d90d1ca71528da19ba73543eb70779cc3aed46da
boundary,qwen4b,c4,boundary_part03_rejected_band03,True,new_gpu_full,b1c3be28a173ac86420a94d39aba309978d0682b7e2abdacd096827768d2033a
boundary,qwen4b,c4,boundary_part03_rejected_band04,True,new_gpu_full,7bd632983ac0a92d4d6482adba9f7a28700e99acf7d629e1178020eaba51ad2c
boundary,qwen4b,c4,boundary_part03_selected_band01,True,new_gpu_full,8d2faca28e7f9eecb65c74afaf0cbb579797b85bb9166f2a3462bcaea90f2f51
boundary,qwen4b,c4,boundary_part03_selected_band02,True,new_gpu_full,1b45a5db839d5f82dead7b1be6fa289cd6e15b3cffb3f6c2668858b454625215
boundary,qwen4b,c4,boundary_part03_selected_band03,True,new_gpu_full,06e9bede0911afe9fca52db2bb36c2b8bf87f65c87885465e59733eedc492384
boundary,qwen4b,c4,boundary_part03_selected_band04,True,new_gpu_full,37a59dd79c5531b4e386564fcfdec4296c11cd0035d2ca48180c2906012d26a5
boundary,qwen4b,c4,boundary_part04_rejected_band01,True,new_gpu_full,e3aa02164a86df2c366cabe0a2beb8fc2a71fa834abc1601c26102def7d0b590
boundary,qwen4b,c4,boundary_part04_rejected_band02,True,new_gpu_full,902bd9fc15ac1a6447068d8a75d61b9dbee23be891c70cc03b557b7ce296e457
boundary,qwen4b,c4,boundary_part04_rejected_band03,True,new_gpu_full,3b8b225f36c1f3f97442ec6c5eb61ce7e2c2a402c2c2b228da9242f5df3b4e88
boundary,qwen4b,c4,boundary_part04_rejected_band04,True,new_gpu_full,ea8db812c081850a56e86db8607926953c77314ba3bc57128f6fa71b52455c66
boundary,qwen4b,c4,boundary_part04_selected_band01,True,new_gpu_full,f0d2b315eb00c4ef84004cec4981e10bc5e7afd9a228a49cb477b7ba983f3a99
boundary,qwen4b,c4,boundary_part04_selected_band02,True,new_gpu_full,cadf66b8002f376de9115be5a1a7cefaa9b0987619967d9351099cad8aebfa60
boundary,qwen4b,c4,boundary_part04_selected_band03,True,new_gpu_full,a3f036dbbaabc835a71b58b7fe1a05d248bbb4e3e7f2010b1bd6d497e7dff8ad
boundary,qwen4b,c4,boundary_part04_selected_band04,True,new_gpu_full,1a084644d1ac61d545c1ba5fbba499ba62d9b7020b853f6b0219bbab0023cfae
corruption,qwen4b,c4,corruption_near_pool01_p010,True,new_gpu_full,3de68efad1b3181d2560d471fb9d5e152e6b650a719068da12c760682ac403fd
corruption,qwen4b,c4,corruption_near_pool01_p025,True,new_gpu_full,e7e97562c54c5538a40009487968de2748aa68c918a1683d9a0e6df9261b3873
corruption,qwen4b,c4,corruption_near_pool01_p050,True,new_gpu_full,c998d2a07e6f027c878b4c8b36fda1fca376324847877797a7bb537311c5adbd
corruption,qwen4b,c4,corruption_near_pool01_p075,True,new_gpu_full,74d75226add08551d44be27b836cb0d974e2beadc3a067b5644547ddb6f8869e
corruption,qwen4b,c4,corruption_near_pool01_p100,True,new_gpu_full,29d002ca7d47a3cbdafb7724625e340fc85de1e98a6352a39e8d820c26670a87
corruption,qwen4b,c4,corruption_near_pool02_p010,True,new_gpu_full,642f63c3700f10a07c33b3284932514281076c1e0fb84a3a43c4aeb93324508e
corruption,qwen4b,c4,corruption_near_pool02_p025,True,new_gpu_full,61a52a320c99dbdac38fd418461bc7fa264a070a3edb93d578c21e6787150648
corruption,qwen4b,c4,corruption_near_pool02_p050,True,new_gpu_full,89a01260a148c75d3467d500df32cd959532ccaf1a4490a2e7163159ca991886
corruption,qwen4b,c4,corruption_near_pool02_p075,True,new_gpu_full,80fee5f3da229e66059eefac406db9a181899a4e672704a3e8dbde0d84402384
corruption,qwen4b,c4,corruption_near_pool02_p100,True,new_gpu_full,6321771412815920d2821db045955d286eef2d88fa6dfa8ab0e885357f1e91d7
corruption,qwen4b,c4,corruption_near_pool03_p010,True,new_gpu_full,0eec59a806d09aed54ceb58cc08a81022dcfa7cffe3b5818ec54e35b7e8b1e90
corruption,qwen4b,c4,corruption_near_pool03_p025,True,new_gpu_full,fb4678afc67970ef91a6796a080fb75df48798cfaed97ffeae8eec3bfcba1f34
corruption,qwen4b,c4,corruption_near_pool03_p050,True,new_gpu_full,935d80bee885dc8b0cc1747bb54e94b6013a38259015934a51fab62d2a67a3e6
corruption,qwen4b,c4,corruption_near_pool03_p075,True,new_gpu_full,dbd62b895a0c7bd3033947917a92148bb08f26ca86de3c91d8f3ddbc821af0f2
corruption,qwen4b,c4,corruption_near_pool03_p100,True,new_gpu_full,ba52f8b1ceb97b1f5d2e30022188606fd10ed2c60ebebcf399271507813d9b61
corruption,qwen4b,c4,corruption_near_pool04_p010,True,new_gpu_full,13eb5c2d34c2a46083aeaa4f2552c3133281de574e487ade7d88f78a3af80db9
corruption,qwen4b,c4,corruption_near_pool04_p025,True,new_gpu_full,a10ba4ddf94b23605edcd048b060682c9bd8afc2a0250dd71ec76ad5beafccd2
corruption,qwen4b,c4,corruption_near_pool04_p050,True,new_gpu_full,6fbdfd1294e9326ec39cde24efab40212947896542ae9414748f0ce4a0ccba8f
corruption,qwen4b,c4,corruption_near_pool04_p075,True,new_gpu_full,c60abb01ba2b4234b7c61fb87a375ca88972d1755d8a4e79d3f81f26d28bdc5e
corruption,qwen4b,c4,corruption_near_pool04_p100,True,new_gpu_full,9aab9d216beef5a583ba19802b25580b6c97b81355e7eb5bc9132831e82cd3b8
corruption,qwen4b,c4,corruption_random_pool01_p050,True,new_gpu_full,617cdd16ba6eb7742b37b98d926c1a177e5eca0f3d10bc917f4b286b00cda79f
corruption,qwen4b,c4,corruption_random_pool02_p050,True,new_gpu_full,d56d1fae72efb57fead8631d8ad7c1de3d3ae723d5f90c39e076acc73efa761a
corruption,qwen4b,c4,corruption_random_pool03_p050,True,new_gpu_full,12097f985409a883033a7e6f513f390d2b4e2046a8dc6f613fcc15fb0ba1b2ba
corruption,qwen4b,c4,corruption_random_pool04_p050,True,new_gpu_full,450b83070e0b298e1542a3228ae21ddf2f541ba89e694936d1225ba8dab16d51
anchor,qwen4b,c4,four_over_six,True,verified_reuse,non-map-baseline
anchor,qwen4b,c4,corruption_p000_anchor,True,verified_reuse,1a274abf944d8b9cb6aaf25e8e24ea9cdbee4b87ef5c7fb31e2e004fa2efbbb4
boundary,qwen4b,wiki,boundary_part01_rejected_band01,True,new_gpu_full,5581498cb4a484df4b309d3c75e67c7762557041b0e6252af92b3b3765e82e3f
boundary,qwen4b,wiki,boundary_part01_rejected_band02,True,new_gpu_full,cc16ccdc75f9d6b0e1a6957b65d466d6a59d73e531862ba8291aaa1250f5b87b
boundary,qwen4b,wiki,boundary_part01_rejected_band03,True,new_gpu_full,d8241629e1125fc6b70920d06a88b43310dfcaf3a3d208cabea250791543f89d
boundary,qwen4b,wiki,boundary_part01_rejected_band04,True,new_gpu_full,bca0a7e94481edcced8756070b48c44d71e5f5d5461f913de1b1970c7a90e29c
