model,corpus,partition,side,band,policy,tiles,mean_kappa,absolute_ppl,delta_nll,ci95_low,ci95_high,relative_ppl_change
llama8b,c4,3,selected,3,boundary_part03_selected_band03,370,3.309679142450224,9.80456564070091,-0.0021194142349830964,-0.003774109361617796,-0.0006746992117518318,-0.0021171698624983725
llama8b,c4,3,selected,4,boundary_part03_selected_band04,370,3.08109561323136,9.808001296966573,-0.0017690616970711475,-0.0034013415198737495,-0.0003328618557690886,-0.0017674978297556496
llama8b,c4,3,rejected,1,boundary_part03_rejected_band01,370,2.9330964700669164,9.809544791966928,-0.0016117030757072884,-0.0033198490405494676,-0.00012353493884232635,-0.001610404979780553
llama8b,c4,3,rejected,2,boundary_part03_rejected_band02,370,2.8414831118133663,9.819830575353086,-0.000563703927992982,-0.002033703075270495,0.0008331371900956546,-0.000563545076783517
llama8b,c4,3,rejected,3,boundary_part03_rejected_band03,370,2.7688399137671325,9.816937894059834,-0.0008583228026475561,-0.002116616683164761,0.00040607153040662697,-0.0008579545489984874
llama8b,c4,3,rejected,4,boundary_part03_rejected_band04,370,2.7100122849603974,9.818672909352948,-0.0006816015063264236,-0.0018558188508691572,0.0004445201832757282,-0.0006813692687871928
llama8b,c4,4,selected,1,boundary_part04_selected_band01,370,5.029333085154964,9.785268155703251,-0.004089567881017961,-0.005963802362946577,-0.0025164894107026284,-0.004081216986020416
llama8b,c4,4,selected,2,boundary_part04_selected_band02,370,3.771644350421662,9.813418174885847,-0.0012169224326652993,-0.002488132738147003,-3.7016555467140165e-05,-0.0012161822828271622
llama8b,c4,4,selected,3,boundary_part04_selected_band03,370,3.3148077733484436,9.798681815490793,-0.0027197051204564857,-0.004708887486991786,-0.0009747721514062619,-0.0027160100730575483
llama8b,c4,4,selected,4,boundary_part04_selected_band04,370,3.092569164255792,9.822820014741882,-0.0002593214417094536,-0.0014153221731211423,0.0008662246789494361,-0.0002592878208106579
llama8b,c4,4,rejected,1,boundary_part04_rejected_band01,370,2.9330964700669164,9.809544791966928,-0.0016117030757072884,-0.00338902211747329,-0.00013707234567452922,-0.001610404979780553
llama8b,c4,4,rejected,2,boundary_part04_rejected_band02,370,2.8414831118133663,9.819830575353086,-0.000563703927992982,-0.0019912321147514387,0.0008310503728882064,-0.000563545076783517
llama8b,c4,4,rejected,3,boundary_part04_rejected_band03,370,2.7688399137671325,9.816937894059834,-0.0008583228026475561,-0.0021231542177293948,0.00037577028995761645,-0.0008579545489984874
llama8b,c4,4,rejected,4,boundary_part04_rejected_band04,370,2.7100122849603974,9.818672909352948,-0.0006816015063264236,-0.0018417863519425448,0.0004265020731076617,-0.0006813692687871928
llama8b,wiki,1,selected,1,boundary_part01_selected_band01,370,4.907760604958536,6.854532876673345,-0.0030397632480938853,-0.004497851603507972,-0.0016440814992607661,-0.003035147845553061
llama8b,wiki,1,selected,2,boundary_part01_selected_band02,370,3.7139336007839474,6.874114128197032,-0.00018714932406823127,-0.0018637494075308286,0.0014417167288956938,-0.00018713181272591065
llama8b,wiki,1,selected,3,boundary_part01_selected_band03,370,3.2867774033121178,6.869437840018907,-0.0008676558436924502,-0.0023792986496489303,0.0006177729111719422,-0.0008672795392030352
