model,module,U,draws,all_empty,source_sha256,interpretation,K_mean,K_sample_sd,K_min,K_max,K_range,density_mean,density_sample_sd,density_min,density_max,density_range,density_ratio_denominator_zero
mistral7b,model.layers.5.self_attn.o_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,0.6,1.3416407864998738,0.0,3.0,3.0,3.662109375e-05,8.188725503539269e-05,0.0,0.00018310546875,0.00018310546875,True
mistral7b,model.layers.5.self_attn.q_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.4,1.140175425099138,0.0,3.0,3.0,8.544921875e-05,6.959078522333606e-05,0.0,0.00018310546875,0.00018310546875,True
mistral7b,model.layers.5.self_attn.v_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.2,0.8366600265340756,0.0,2.0,2.0,0.00029296875,0.0002042627017905458,0.0,0.00048828125,0.00048828125,False
mistral7b,model.layers.6.mlp.down_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.6,1.51657508881031,0.0,4.0,4.0,2.7901785714285713e-05,2.6446970717255686e-05,0.0,6.975446428571428e-05,6.975446428571428e-05,False
mistral7b,model.layers.6.mlp.gate_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,0.4,0.5477225575051662,0.0,1.0,1.0,6.975446428571428e-06,9.55152339399355e-06,0.0,1.743861607142857e-05,1.743861607142857e-05,True
mistral7b,model.layers.6.mlp.up_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,2.6,2.4083189157584592,0.0,5.0,5.0,4.534040178571428e-05,4.19977489494709e-05,0.0,8.719308035714286e-05,8.719308035714286e-05,False
mistral7b,model.layers.6.self_attn.k_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,0.8,0.44721359549995804,0.0,1.0,1.0,0.0001953125,0.00010918300671385694,0.0,0.000244140625,0.000244140625,True
mistral7b,model.layers.6.self_attn.o_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.4,1.51657508881031,0.0,4.0,4.0,8.544921875e-05,9.25643975103949e-05,0.0,0.000244140625,0.000244140625,False
mistral7b,model.layers.6.self_attn.q_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,2.4,2.5099800796022267,0.0,6.0,6.0,0.000146484375,0.00015319702634290934,0.0,0.0003662109375,0.0003662109375,False
mistral7b,model.layers.6.self_attn.v_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.6,0.8944271909999159,1.0,3.0,2.0,0.000390625,0.00021836601342771383,0.000244140625,0.000732421875,0.00048828125,False
mistral7b,model.layers.7.mlp.down_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,3.4,1.3416407864998738,2.0,5.0,3.0,5.929129464285715e-05,2.339635858154077e-05,3.487723214285714e-05,8.719308035714286e-05,5.231584821428572e-05,False
mistral7b,model.layers.7.mlp.gate_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.6,1.140175425099138,0.0,3.0,3.0,2.7901785714285713e-05,1.988308149238173e-05,0.0,5.231584821428571e-05,5.231584821428571e-05,False
mistral7b,model.layers.7.mlp.up_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.6,1.140175425099138,0.0,3.0,3.0,2.7901785714285713e-05,1.988308149238173e-05,0.0,5.231584821428571e-05,5.231584821428571e-05,False
mistral7b,model.layers.7.self_attn.k_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,0.8,1.3038404810405297,0.0,3.0,3.0,0.0001953125,0.0003183204299415356,0.0,0.000732421875,0.000732421875,False
mistral7b,model.layers.7.self_attn.o_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,2.8,1.9235384061671346,0.0,5.0,5.0,0.0001708984375,0.00011740346717328702,0.0,0.00030517578125,0.00030517578125,False
mistral7b,model.layers.7.self_attn.q_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.0,0.7071067811865476,0.0,2.0,2.0,6.103515625e-05,4.315837287515549e-05,0.0,0.0001220703125,0.0001220703125,False
mistral7b,model.layers.7.self_attn.v_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,0.2,0.447213595499958,0.0,1.0,1.0,4.8828125e-05,0.00010918300671385693,0.0,0.000244140625,0.000244140625,True
mistral7b,model.layers.8.mlp.down_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,3.2,2.1679483388678804,0.0,6.0,6.0,5.580357142857143e-05,3.780601874420828e-05,0.0,0.00010463169642857142,0.00010463169642857142,False
mistral7b,model.layers.8.mlp.gate_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,2.8,0.8366600265340756,2.0,4.0,2.0,4.8828124999999996e-05,1.4590192985038985e-05,3.487723214285714e-05,6.975446428571428e-05,3.487723214285714e-05,False
mistral7b,model.layers.8.mlp.up_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,3.2,3.03315017762062,0.0,8.0,8.0,5.580357142857143e-05,5.289394143451137e-05,0.0,0.00013950892857142856,0.00013950892857142856,False
mistral7b,model.layers.8.self_attn.k_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.8,2.1679483388678804,0.0,5.0,5.0,0.000439453125,0.0005292842624189161,0.0,0.001220703125,0.001220703125,False
mistral7b,model.layers.8.self_attn.o_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.0,1.0,0.0,2.0,2.0,6.103515625e-05,6.103515625e-05,0.0,0.0001220703125,0.0001220703125,False
mistral7b,model.layers.8.self_attn.q_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,3.4,3.911521443121589,1.0,10.0,9.0,0.00020751953125,0.00023874032245615166,6.103515625e-05,0.0006103515625,0.00054931640625,False
mistral7b,model.layers.8.self_attn.v_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,0.8,0.8366600265340756,0.0,2.0,2.0,0.0001953125,0.0002042627017905458,0.0,0.00048828125,0.00048828125,True
mistral7b,model.layers.9.mlp.down_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,12.8,5.118593556827891,7.0,21.0,14.0,0.0002232142857142857,8.926118786320959e-05,0.0001220703125,0.0003662109375,0.000244140625,False
