model,module,frequency,tiles,U
llama8b,model.layers.14.self_attn.v_proj,3,0,4096
llama8b,model.layers.14.self_attn.v_proj,4,0,4096
llama8b,model.layers.14.self_attn.v_proj,5,0,4096
llama8b,model.layers.15.mlp.down_proj,0,57300,57344
llama8b,model.layers.15.mlp.down_proj,1,44,57344
llama8b,model.layers.15.mlp.down_proj,2,0,57344
llama8b,model.layers.15.mlp.down_proj,3,0,57344
llama8b,model.layers.15.mlp.down_proj,4,0,57344
llama8b,model.layers.15.mlp.down_proj,5,0,57344
llama8b,model.layers.15.mlp.gate_proj,0,57316,57344
llama8b,model.layers.15.mlp.gate_proj,1,26,57344
llama8b,model.layers.15.mlp.gate_proj,2,0,57344
llama8b,model.layers.15.mlp.gate_proj,3,0,57344
llama8b,model.layers.15.mlp.gate_proj,4,0,57344
llama8b,model.layers.15.mlp.gate_proj,5,2,57344
llama8b,model.layers.15.mlp.up_proj,0,57313,57344
llama8b,model.layers.15.mlp.up_proj,1,30,57344
llama8b,model.layers.15.mlp.up_proj,2,0,57344
llama8b,model.layers.15.mlp.up_proj,3,0,57344
llama8b,model.layers.15.mlp.up_proj,4,1,57344
llama8b,model.layers.15.mlp.up_proj,5,0,57344
llama8b,model.layers.15.self_attn.k_proj,0,4094,4096
llama8b,model.layers.15.self_attn.k_proj,1,2,4096
llama8b,model.layers.15.self_attn.k_proj,2,0,4096
llama8b,model.layers.15.self_attn.k_proj,3,0,4096
llama8b,model.layers.15.self_attn.k_proj,4,0,4096
llama8b,model.layers.15.self_attn.k_proj,5,0,4096
llama8b,model.layers.15.self_attn.o_proj,0,16357,16384
llama8b,model.layers.15.self_attn.o_proj,1,24,16384
llama8b,model.layers.15.self_attn.o_proj,2,3,16384
llama8b,model.layers.15.self_attn.o_proj,3,0,16384
llama8b,model.layers.15.self_attn.o_proj,4,0,16384
llama8b,model.layers.15.self_attn.o_proj,5,0,16384
llama8b,model.layers.15.self_attn.q_proj,0,16376,16384
llama8b,model.layers.15.self_attn.q_proj,1,8,16384
llama8b,model.layers.15.self_attn.q_proj,2,0,16384
llama8b,model.layers.15.self_attn.q_proj,3,0,16384
llama8b,model.layers.15.self_attn.q_proj,4,0,16384
llama8b,model.layers.15.self_attn.q_proj,5,0,16384
llama8b,model.layers.15.self_attn.v_proj,0,4080,4096
llama8b,model.layers.15.self_attn.v_proj,1,9,4096
llama8b,model.layers.15.self_attn.v_proj,2,3,4096
llama8b,model.layers.15.self_attn.v_proj,3,3,4096
llama8b,model.layers.15.self_attn.v_proj,4,0,4096
llama8b,model.layers.15.self_attn.v_proj,5,1,4096
llama8b,model.layers.16.mlp.down_proj,0,57307,57344
llama8b,model.layers.16.mlp.down_proj,1,34,57344
llama8b,model.layers.16.mlp.down_proj,2,0,57344
llama8b,model.layers.16.mlp.down_proj,3,1,57344
llama8b,model.layers.16.mlp.down_proj,4,1,57344
llama8b,model.layers.16.mlp.down_proj,5,1,57344
llama8b,model.layers.16.mlp.gate_proj,0,57319,57344
llama8b,model.layers.16.mlp.gate_proj,1,25,57344
llama8b,model.layers.16.mlp.gate_proj,2,0,57344
llama8b,model.layers.16.mlp.gate_proj,3,0,57344
llama8b,model.layers.16.mlp.gate_proj,4,0,57344
llama8b,model.layers.16.mlp.gate_proj,5,0,57344
llama8b,model.layers.16.mlp.up_proj,0,57312,57344
llama8b,model.layers.16.mlp.up_proj,1,31,57344
llama8b,model.layers.16.mlp.up_proj,2,1,57344
llama8b,model.layers.16.mlp.up_proj,3,0,57344
llama8b,model.layers.16.mlp.up_proj,4,0,57344
llama8b,model.layers.16.mlp.up_proj,5,0,57344
llama8b,model.layers.16.self_attn.k_proj,0,4091,4096
llama8b,model.layers.16.self_attn.k_proj,1,5,4096
llama8b,model.layers.16.self_attn.k_proj,2,0,4096
llama8b,model.layers.16.self_attn.k_proj,3,0,4096
llama8b,model.layers.16.self_attn.k_proj,4,0,4096
llama8b,model.layers.16.self_attn.k_proj,5,0,4096
llama8b,model.layers.16.self_attn.o_proj,0,16365,16384
llama8b,model.layers.16.self_attn.o_proj,1,18,16384
llama8b,model.layers.16.self_attn.o_proj,2,1,16384
llama8b,model.layers.16.self_attn.o_proj,3,0,16384
llama8b,model.layers.16.self_attn.o_proj,4,0,16384
llama8b,model.layers.16.self_attn.o_proj,5,0,16384
llama8b,model.layers.16.self_attn.q_proj,0,16366,16384
llama8b,model.layers.16.self_attn.q_proj,1,18,16384
llama8b,model.layers.16.self_attn.q_proj,2,0,16384
llama8b,model.layers.16.self_attn.q_proj,3,0,16384
llama8b,model.layers.16.self_attn.q_proj,4,0,16384
llama8b,model.layers.16.self_attn.q_proj,5,0,16384
llama8b,model.layers.16.self_attn.v_proj,0,4080,4096
llama8b,model.layers.16.self_attn.v_proj,1,14,4096
llama8b,model.layers.16.self_attn.v_proj,2,1,4096
llama8b,model.layers.16.self_attn.v_proj,3,1,4096
llama8b,model.layers.16.self_attn.v_proj,4,0,4096
llama8b,model.layers.16.self_attn.v_proj,5,0,4096
llama8b,model.layers.17.mlp.down_proj,0,57298,57344
llama8b,model.layers.17.mlp.down_proj,1,46,57344
llama8b,model.layers.17.mlp.down_proj,2,0,57344
llama8b,model.layers.17.mlp.down_proj,3,0,57344
llama8b,model.layers.17.mlp.down_proj,4,0,57344
llama8b,model.layers.17.mlp.down_proj,5,0,57344
llama8b,model.layers.17.mlp.gate_proj,0,57321,57344
llama8b,model.layers.17.mlp.gate_proj,1,23,57344
llama8b,model.layers.17.mlp.gate_proj,2,0,57344
llama8b,model.layers.17.mlp.gate_proj,3,0,57344
llama8b,model.layers.17.mlp.gate_proj,4,0,57344
llama8b,model.layers.17.mlp.gate_proj,5,0,57344
llama8b,model.layers.17.mlp.up_proj,0,57319,57344
llama8b,model.layers.17.mlp.up_proj,1,25,57344
llama8b,model.layers.17.mlp.up_proj,2,0,57344
llama8b,model.layers.17.mlp.up_proj,3,0,57344
llama8b,model.layers.17.mlp.up_proj,4,0,57344
llama8b,model.layers.17.mlp.up_proj,5,0,57344
llama8b,model.layers.17.self_attn.k_proj,0,4075,4096
llama8b,model.layers.17.self_attn.k_proj,1,17,4096
llama8b,model.layers.17.self_attn.k_proj,2,3,4096
llama8b,model.layers.17.self_attn.k_proj,3,1,4096
llama8b,model.layers.17.self_attn.k_proj,4,0,4096
llama8b,model.layers.17.self_attn.k_proj,5,0,4096
llama8b,model.layers.17.self_attn.o_proj,0,16360,16384
llama8b,model.layers.17.self_attn.o_proj,1,20,16384
llama8b,model.layers.17.self_attn.o_proj,2,1,16384
llama8b,model.layers.17.self_attn.o_proj,3,2,16384
llama8b,model.layers.17.self_attn.o_proj,4,1,16384
llama8b,model.layers.17.self_attn.o_proj,5,0,16384
llama8b,model.layers.17.self_attn.q_proj,0,16369,16384
llama8b,model.layers.17.self_attn.q_proj,1,15,16384
llama8b,model.layers.17.self_attn.q_proj,2,0,16384
llama8b,model.layers.17.self_attn.q_proj,3,0,16384
llama8b,model.layers.17.self_attn.q_proj,4,0,16384
llama8b,model.layers.17.self_attn.q_proj,5,0,16384
llama8b,model.layers.17.self_attn.v_proj,0,4083,4096
llama8b,model.layers.17.self_attn.v_proj,1,12,4096
llama8b,model.layers.17.self_attn.v_proj,2,0,4096
llama8b,model.layers.17.self_attn.v_proj,3,1,4096
llama8b,model.layers.17.self_attn.v_proj,4,0,4096
llama8b,model.layers.17.self_attn.v_proj,5,0,4096
llama8b,model.layers.18.mlp.down_proj,0,57296,57344
llama8b,model.layers.18.mlp.down_proj,1,47,57344
llama8b,model.layers.18.mlp.down_proj,2,1,57344
llama8b,model.layers.18.mlp.down_proj,3,0,57344
llama8b,model.layers.18.mlp.down_proj,4,0,57344
llama8b,model.layers.18.mlp.down_proj,5,0,57344
llama8b,model.layers.18.mlp.gate_proj,0,57306,57344
llama8b,model.layers.18.mlp.gate_proj,1,38,57344
llama8b,model.layers.18.mlp.gate_proj,2,0,57344
llama8b,model.layers.18.mlp.gate_proj,3,0,57344
llama8b,model.layers.18.mlp.gate_proj,4,0,57344
llama8b,model.layers.18.mlp.gate_proj,5,0,57344
llama8b,model.layers.18.mlp.up_proj,0,57306,57344
llama8b,model.layers.18.mlp.up_proj,1,36,57344
llama8b,model.layers.18.mlp.up_proj,2,2,57344
llama8b,model.layers.18.mlp.up_proj,3,0,57344
llama8b,model.layers.18.mlp.up_proj,4,0,57344
llama8b,model.layers.18.mlp.up_proj,5,0,57344
llama8b,model.layers.18.self_attn.k_proj,0,4094,4096
llama8b,model.layers.18.self_attn.k_proj,1,2,4096
llama8b,model.layers.18.self_attn.k_proj,2,0,4096
llama8b,model.layers.18.self_attn.k_proj,3,0,4096
llama8b,model.layers.18.self_attn.k_proj,4,0,4096
llama8b,model.layers.18.self_attn.k_proj,5,0,4096
llama8b,model.layers.18.self_attn.o_proj,0,16374,16384
llama8b,model.layers.18.self_attn.o_proj,1,9,16384
llama8b,model.layers.18.self_attn.o_proj,2,1,16384
llama8b,model.layers.18.self_attn.o_proj,3,0,16384
llama8b,model.layers.18.self_attn.o_proj,4,0,16384
llama8b,model.layers.18.self_attn.o_proj,5,0,16384
llama8b,model.layers.18.self_attn.q_proj,0,16377,16384
llama8b,model.layers.18.self_attn.q_proj,1,7,16384
llama8b,model.layers.18.self_attn.q_proj,2,0,16384
llama8b,model.layers.18.self_attn.q_proj,3,0,16384
llama8b,model.layers.18.self_attn.q_proj,4,0,16384
llama8b,model.layers.18.self_attn.q_proj,5,0,16384
llama8b,model.layers.18.self_attn.v_proj,0,4079,4096
llama8b,model.layers.18.self_attn.v_proj,1,16,4096
llama8b,model.layers.18.self_attn.v_proj,2,1,4096
llama8b,model.layers.18.self_attn.v_proj,3,0,4096
llama8b,model.layers.18.self_attn.v_proj,4,0,4096
llama8b,model.layers.18.self_attn.v_proj,5,0,4096
llama8b,model.layers.19.mlp.down_proj,0,57318,57344
llama8b,model.layers.19.mlp.down_proj,1,26,57344
llama8b,model.layers.19.mlp.down_proj,2,0,57344
llama8b,model.layers.19.mlp.down_proj,3,0,57344
llama8b,model.layers.19.mlp.down_proj,4,0,57344
llama8b,model.layers.19.mlp.down_proj,5,0,57344
llama8b,model.layers.19.mlp.gate_proj,0,57298,57344
llama8b,model.layers.19.mlp.gate_proj,1,46,57344
llama8b,model.layers.19.mlp.gate_proj,2,0,57344
llama8b,model.layers.19.mlp.gate_proj,3,0,57344
llama8b,model.layers.19.mlp.gate_proj,4,0,57344
llama8b,model.layers.19.mlp.gate_proj,5,0,57344
llama8b,model.layers.19.mlp.up_proj,0,57315,57344
llama8b,model.layers.19.mlp.up_proj,1,29,57344
llama8b,model.layers.19.mlp.up_proj,2,0,57344
llama8b,model.layers.19.mlp.up_proj,3,0,57344
llama8b,model.layers.19.mlp.up_proj,4,0,57344
