model,draw,corpus,contrast,role,status,delta_nll,ci_low,ci_high
mistral7b,draw1,c4,kl_matched-minus-joint,primary,validated_new,-0.0006134440552618692,-0.001370936640043674,8.825048446232608e-05
mistral7b,draw1,c4,ce_natural-minus-joint,secondary,validated_new,-0.0008455725997214003,-0.0021774833095205446,0.0001537321133576402
mistral7b,draw1,c4,kl_natural-minus-joint,secondary,validated_new,-0.0014169701738802054,-0.0023501978715607663,-0.0005767337603218238
mistral7b,draw1,c4,ce_natural-minus-kl_natural,secondary,validated_new,0.0005713975741588051,-0.00023996251802801404,0.001338221538272066
mistral7b,draw2,c4,ce_matched-minus-joint,primary,validated_new,0.0004162941477208193,-0.00042768490761603274,0.001535697843926109
mistral7b,draw2,c4,kl_matched-minus-joint,primary,validated_new,-0.00029836687045259325,-0.0010182736870783082,0.0005575688834729344
mistral7b,draw2,c4,ce_natural-minus-joint,secondary,validated_new,0.0002314377894805375,-0.0004996459377487161,0.0010781143316778926
mistral7b,draw2,c4,kl_natural-minus-joint,secondary,validated_new,-0.0007887352429944983,-0.0014611050971200413,-8.180755384439317e-05
mistral7b,draw2,c4,ce_natural-minus-kl_natural,secondary,validated_new,0.0010201730324750358,0.00025469900401600134,0.0018301826063504495
mistral7b,draw3,c4,ce_matched-minus-joint,primary,validated_new,0.00021759467804427501,-0.000526543719776229,0.0009360707912331567
mistral7b,draw3,c4,kl_matched-minus-joint,primary,validated_new,0.00013214550382034673,-0.0006934958986110184,0.0011674370186063872
mistral7b,draw3,c4,ce_natural-minus-joint,secondary,validated_new,-0.000134900762450485,-0.001099442937927253,0.0007294245689154153
mistral7b,draw3,c4,kl_natural-minus-joint,secondary,validated_new,-0.00030458012724432493,-0.0010723222792941578,0.00040987904011706634
mistral7b,draw3,c4,ce_natural-minus-kl_natural,secondary,validated_new,0.00016967936479383994,-0.0006148898708063677,0.0009442414480263616
mistral7b,draw4,c4,ce_matched-minus-joint,primary,validated_new,0.000336161049210304,-0.00030693648394921615,0.0009693902865290363
mistral7b,draw4,c4,kl_matched-minus-joint,primary,validated_new,-0.00035368430619708846,-0.0009927230986255808,0.00021880778708572817
mistral7b,draw4,c4,ce_natural-minus-joint,secondary,validated_new,0.00028540766704931997,-0.0006790770835701898,0.001126806953155157
mistral7b,draw4,c4,kl_natural-minus-joint,secondary,validated_new,0.0004578147553098155,-0.0003420760061514372,0.0012604103757336
mistral7b,draw4,c4,ce_natural-minus-kl_natural,secondary,validated_new,-0.00017240708826049556,-0.0015913835777710105,0.0009217384601852389
