model,draw,N,module,objective,backend_status,exact_parent_SE,eligible_weights,eligible_parents,ownership_regret,sum_abs_child_mean,weighted_cancellation,unweighted_cancellation_mean,zero_score_parents,minority_sign_fraction,mean_favorable_parents,selector_gap,threshold_increment,veto_increment,total_surrogate_gap,selected_tiles,selected_weights,mean_favorable_threshold_fail,mean_favorable_threshold_fail_fraction
llama8b,seed0,8,model.layers.5.mlp.gate_proj,kl,analytical_only,True,58720256,114688,0.0,0.041967075120834155,0.0,0.0,0,0.0,57701,0.021156457518889143,0.020988405292651918,0.00016805222623722527,0.021156457518889143,17,8704,57572,0.9977643368399162
llama8b,seed0,8,model.layers.5.mlp.up_proj,ce,analytical_only,True,58720256,114688,0.0,0.06891544389877619,0.0,0.0,0,0.0,57772,0.03472379912573065,0.03441203382610081,0.00031176529962984034,0.03472379912573065,17,8704,57612,0.9972304922799973
llama8b,seed0,8,model.layers.5.mlp.up_proj,kl,analytical_only,True,58720256,114688,0.0,0.04956108408212914,0.0,0.0,0,0.0,57704,0.024951023320932048,0.024758129168808124,0.00019289415212392358,0.024951023320932048,17,8704,57573,0.9977297934285319
llama8b,seed0,8,model.layers.5.mlp.down_proj,ce,analytical_only,True,58720256,114688,0.0,0.07298871497006468,0.0,0.0,0,0.0,57684,0.036852452307956335,0.03644786397524505,0.00040458833271128647,0.036852452307956335,19,9728,57487,0.9965848415505166
llama8b,seed0,8,model.layers.5.mlp.down_proj,kl,analytical_only,True,58720256,114688,0.0,0.05288647302091977,0.0,0.0,0,0.0,57906,0.026673028787823433,0.02642118208723554,0.00025184670058789327,0.026673028787823433,19,9728,57750,0.9973059786550617
llama8b,seed0,8,model.layers.6.self_attn.q_proj,ce,analytical_only,True,16777216,32768,0.0,0.01394008296463009,0.0,0.0,0,0.0,16506,0.007122535202382832,0.007033568101138768,8.896710124406404e-05,0.007122535202382832,5,2560,16449,0.9965467102871683
llama8b,seed0,8,model.layers.6.self_attn.q_proj,kl,analytical_only,True,16777216,32768,0.0,0.01019801475914921,0.0,0.0,0,0.0,16558,0.00518116992088619,0.0050397113801098105,0.0001414585407763791,0.00518116992088619,5,2560,16465,0.9943833796352216
llama8b,seed0,8,model.layers.6.self_attn.k_proj,ce,analytical_only,True,4194304,8192,0.0,0.0052037788596584755,0.0,0.0,0,0.0,4128,0.0026307926110269164,0.0025999950234017744,3.0797587625142064e-05,0.0026307926110269164,0,0,4118,0.997577519379845
llama8b,seed0,8,model.layers.6.self_attn.k_proj,kl,analytical_only,True,4194304,8192,0.0,0.003755172720135397,0.0,0.0,0,0.0,4011,0.0018749141948533332,0.0018407280834019657,3.418611145136752e-05,0.0018749141948533332,0,0,3994,0.9957616554475193
llama8b,seed0,8,model.layers.6.self_attn.v_proj,ce,analytical_only,True,4194304,8192,0.0,0.011073254602923133,0.0,0.0,0,0.0,4100,0.0055861302967353255,0.0054759630748316135,0.00011016722190371198,0.0055861302967353255,2,1024,4075,0.9939024390243902
