model,draw_a,draw_b,ranking,scope,U,K_a,K_b,intersection,jaccard,containment_a_to_b,containment_b_to_a,overlap_coefficient,empty_a,empty_b,expected_intersection_module,expected_intersection_global,null_intersection_mean,null_jaccard_lo,null_jaccard_median,null_jaccard_hi,null_containment_a_lo,null_containment_a_median,null_containment_a_hi,null_containment_b_lo,null_containment_b_median,null_containment_b_hi,allocation_share_L1,allocation_spearman
mistral7b,draw2,draw3,joint_upper_primary,fixed_module_min_quota,6815744,2946,2946,1894,0.4737368684342171,0.6429056347589952,0.6429056347589952,0.6429056347589952,False,False,21.5911865234375,1.2733629666841948,21.718,0.00221126041843851,0.003747870528109029,0.005289199795256782,0.004412763068567549,0.00746775288526816,0.010522742701968771,0.004412763068567549,0.00746775288526816,0.010522742701968771,0.0,1.0
mistral7b,draw2,draw4,joint_upper_primary,fixed_module_min_quota,6815744,2946,2946,1833,0.4515890613451589,0.6221995926680245,0.6221995926680245,0.6221995926680245,False,False,21.5911865234375,1.2733629666841948,21.313,0.0023817625042531474,0.0035769034236075624,0.005289199795256782,0.0047522063815342835,0.007128309572301426,0.010522742701968771,0.0047522063815342835,0.007128309572301426,0.010522742701968771,0.0,1.0
mistral7b,draw3,draw4,joint_upper_primary,fixed_module_min_quota,6815744,2946,2946,1842,0.45481481481481484,0.6252545824847251,0.6252545824847251,0.6252545824847251,False,False,21.5911865234375,1.2733629666841948,21.831,0.00221126041843851,0.003747870528109029,0.005289199795256782,0.004412763068567549,0.00746775288526816,0.010522742701968771,0.004412763068567549,0.00746775288526816,0.010522742701968771,0.0,1.0
mistral7b,seed0,draw1,joint_z_diagnostic,fixed_module_min_quota,6815744,2946,2946,1827,0.44944649446494467,0.620162932790224,0.620162932790224,0.620162932790224,False,False,21.5911865234375,1.2733629666841948,21.656,0.00221126041843851,0.0035769034236075624,0.005460750853242321,0.004412763068567549,0.007128309572301426,0.010862186014935505,0.004412763068567549,0.007128309572301426,0.010862186014935505,0.0,1.0
mistral7b,seed0,draw2,joint_z_diagnostic,fixed_module_min_quota,6815744,2946,2946,1906,0.4781736076266934,0.6469789545145961,0.6469789545145961,0.6469789545145961,False,False,21.5911865234375,1.2733629666841948,21.468,0.00221126041843851,0.0035769034236075624,0.005289199795256782,0.004412763068567549,0.007128309572301426,0.010522742701968771,0.004412763068567549,0.007128309572301426,0.010522742701968771,0.0,1.0
mistral7b,seed0,draw3,joint_z_diagnostic,fixed_module_min_quota,6815744,2946,2946,1857,0.46022304832713756,0.630346232179226,0.630346232179226,0.630346232179226,False,False,21.5911865234375,1.2733629666841948,21.387,0.00221126041843851,0.0035769034236075624,0.0051219945803471275,0.004412763068567549,0.007128309572301426,0.010191785471826198,0.004412763068567549,0.007128309572301426,0.010191785471826198,0.0,1.0
mistral7b,seed0,draw4,joint_z_diagnostic,fixed_module_min_quota,6815744,2946,2946,1778,0.43218279047156055,0.603530210454854,0.603530210454854,0.603530210454854,False,False,21.5911865234375,1.2733629666841948,21.574,0.0023817625042531474,0.0035769034236075624,0.005289199795256782,0.0047522063815342835,0.007128309572301426,0.010522742701968771,0.0047522063815342835,0.007128309572301426,0.010522742701968771,0.0,1.0
mistral7b,draw1,draw2,joint_z_diagnostic,fixed_module_min_quota,6815744,2946,2946,1892,0.473,0.6422267481330618,0.6422267481330618,0.6422267481330618,False,False,21.5911865234375,1.2733629666841948,21.393,0.0020408163265306124,0.0035769034236075624,0.005289199795256782,0.004073319755600814,0.007128309572301426,0.010522742701968771,0.004073319755600814,0.007128309572301426,0.010522742701968771,0.0,1.0
mistral7b,draw1,draw3,joint_z_diagnostic,fixed_module_min_quota,6815744,2946,2946,1833,0.4515890613451589,0.6221995926680245,0.6221995926680245,0.6221995926680245,False,False,21.5911865234375,1.2733629666841948,21.603,0.00221126041843851,0.003747870528109029,0.005289199795256782,0.004412763068567549,0.00746775288526816,0.010522742701968771,0.004412763068567549,0.00746775288526816,0.010522742701968771,0.0,1.0
mistral7b,draw1,draw4,joint_z_diagnostic,fixed_module_min_quota,6815744,2946,2946,1739,0.41873344570190224,0.5902919212491514,0.5902919212491514,0.5902919212491514,False,False,21.5911865234375,1.2733629666841948,21.495,0.0020408163265306124,0.0035769034236075624,0.005460750853242321,0.004073319755600814,0.007128309572301426,0.010862186014935505,0.004073319755600814,0.007128309572301426,0.010862186014935505,0.0,1.0
